2503;230840.3101,4034182.9514,769159.6899,9332899.0334
2504;246431.6946,4511668.7041,753568.3054,9332899.0334
2505;270560.3029,5178361.2631,729439.6971,9332899.0334
2506;284926.1541,5545259.5812,715073.8459,8440765.3226
2507;283812.0913,5517458.8823,716187.9087,8552263.2779
2508;283589.7752,5511898.8477,716410.2248,8552263.2779
2509;280934.967,5445181.1719,719065.033,8496513.4871
2510;282480.6858,5484099.2012,717519.3142,8329274.0935
2511;291468.327,5706520.8595,708531.673,8217790.0266
2512;252407.8038,4683848.8104,747592.1962,8162050.8128
2513;253782.5778,4722732.8771,746217.4222,8440765.3226
2514;266773.1971,5078324.8348,733226.8029,8440765.3226
2515;260590.3351,4911623.0134,739409.6649,8440765.3226
